code,name,description,category,url,status
application/vnd.apple.mpegurl,,,application,,active
application/vnd.apple.installer+xml,,,application,,active
application/vnd.arastra.swi,,,application,,withdrawn
application/vnd.aristanetworks.swi,,,application,,active
application/vnd.artsquare,,,application,,active
application/vnd.astraea-software.iota,,,application,,active
application/vnd.audiograph,,,application,,active
application/vnd.autopackage,,,application,,active
application/vnd.avistar+xml,,,application,,active
application/vnd.balsamiq.bmml+xml,,,application,,active
application/vnd.balsamiq.bmpr,,,application,,active
application/vnd.bekitzur-stech+json,,,application,,active
application/vnd.bint.med-content,,,application,,active
application/vnd.biopax.rdf+xml,,,application,,active
application/vnd.blueice.multipass,,,application,,active
application/vnd.bluetooth.ep.oob,,,application,,active
application/vnd.bluetooth.le.oob,,,application,,active
application/vnd.bmi,,,application,,active
application/vnd.businessobjects,,,application,,active
application/vnd.cab-jscript,,,application,,active
application/vnd.canon-cpdl,,,application,,active
application/vnd.canon-lips,,,application,,active
application/vnd.capasystems-pg+json,,,application,,active
application/vnd.cendio.thinlinc.clientconf,,,application,,active
application/vnd.century-systems.tcp_stream,,,application,,active
application/vnd.chemdraw+xml,,,application,,active
application/vnd.chess-pgn,,,application,,active
application/vnd.chipnuts.karaoke-mmd,,,application,,active
application/vnd.cinderella,,,application,,active
application/vnd.cirpack.isdn-ext,,,application,,active
application/vnd.citationstyles.style+xml,,,application,,active
application/vnd.claymore,,,application,,active
application/vnd.cloanto.rp9,,,application,,active
application/vnd.clonk.c4group,,,application,,active
application/vnd.cluetrust.cartomobile-config,,,application,,active
application/vnd.cluetrust.cartomobile-config-pkg,,,application,,active
application/vnd.coffeescript,,,application,,active
application/vnd.collection.doc+json,,,application,,active
application/vnd.collection+json,,,application,,active
application/vnd.collection.next+json,,,application,,active
application/vnd.comicbook+zip,,,application,,active
application/vnd.commerce-battelle,,,application,,active
application/vnd.commonspace,,,application,,active
application/vnd.coreos.ignition+json,,,application,,active
application/vnd.cosmocaller,,,application,,active
application/vnd.contact.cmsg,,,application,,active
application/vnd.crick.clicker,,,application,,active
application/vnd.crick.clicker.keyboard,,,application,,active
application/vnd.crick.clicker.palette,,,application,,active
application/vnd.crick.clicker.template,,,application,,active
application/vnd.crick.clicker.wordbank,,,application,,active
application/vnd.criticaltools.wbs+xml,,,application,,active
application/vnd.ctc-posml,,,application,,active
application/vnd.ctct.ws+xml,,,application,,active
application/vnd.cups-pdf,,,application,,active
application/vnd.cups-postscript,,,application,,active
application/vnd.cups-ppd,,,application,,active
application/vnd.cups-raster,,,application,,active
application/vnd.cups-raw,,,application,,active
application/vnd.curl,,,application,,active
application/vnd.cyan.dean.root+xml,,,application,,active
application/vnd.cybank,,,application,,active
application/vnd.d2l.coursepackage1p0+zip,,,application,,active
application/vnd.dart,,,application,,active
application/vnd.data-vision.rdz,,,application,,active
application/vnd.datapackage+json,,,application,,active
application/vnd.dataresource+json,,,application,,active
application/vnd.debian.binary-package,,,application,,active
application/vnd.dece.data,,,application,,active
application/vnd.dece.ttml+xml,,,application,,active
application/vnd.dece.unspecified,,,application,,active
application/vnd.dece.zip,,,application,,active
application/vnd.denovo.fcselayout-link,,,application,,active
application/vnd.desmume.movie,,,application,,active
application/vnd.dir-bi.plate-dl-nosuffix,,,application,,active
application/vnd.dm.delegation+xml,,,application,,active
application/vnd.dna,,,application,,active
application/vnd.document+json,,,application,,active
application/vnd.dolby.mobile.1,,,application,,active
application/vnd.dolby.mobile.2,,,application,,active
application/vnd.doremir.scorecloud-binary-document,,,application,,active
application/vnd.dpgraph,,,application,,active
application/vnd.dreamfactory,,,application,,active
application/vnd.drive+json,,,application,,active
application/vnd.dtg.local,,,application,,active
application/vnd.dtg.local.flash,,,application,,active
application/vnd.dtg.local.html,,,application,,active
application/vnd.dvb.ait,,,application,,active
application/vnd.dvb.dvbj,,,application,,active
application/vnd.dvb.esgcontainer,,,application,,active
application/vnd.dvb.ipdcdftnotifaccess,,,application,,active
application/vnd.dvb.ipdcesgaccess,,,application,,active
application/vnd.dvb.ipdcesgaccess2,,,application,,active
application/vnd.dvb.ipdcesgpdd,,,application,,active
application/vnd.dvb.ipdcroaming,,,application,,active
application/vnd.dvb.iptv.alfec-base,,,application,,active
application/vnd.dvb.iptv.alfec-enhancement,,,application,,active
application/vnd.dvb.notif-aggregate-root+xml,,,application,,active
application/vnd.dvb.notif-container+xml,,,application,,active
application/vnd.dvb.notif-generic+xml,,,application,,active
application/vnd.dvb.notif-ia-msglist+xml,,,application,,active
application/vnd.dvb.notif-ia-registration-request+xml,,,application,,active
application/vnd.dvb.notif-ia-registration-response+xml,,,application,,active
application/vnd.dvb.notif-init+xml,,,application,,active
application/vnd.dvb.pfr,,,application,,active
application/vnd.dvb.service,,,application,,active
application/vnd.dxr,,,application,,active
application/vnd.dynageo,,,application,,active
application/vnd.dzr,,,application,,active
application/vnd.easykaraoke.cdgdownload,,,application,,active
application/vnd.ecdis-update,,,application,,active
application/vnd.ecowin.chart,,,application,,active
application/vnd.ecowin.filerequest,,,application,,active
application/vnd.ecowin.fileupdate,,,application,,active
application/vnd.ecowin.series,,,application,,active
application/vnd.ecowin.seriesrequest,,,application,,active
application/vnd.ecowin.seriesupdate,,,application,,active
application/vnd.efi.img,,,application,,active
application/vnd.efi.iso,,,application,,active
application/vnd.emclient.accessrequest+xml,,,application,,active
application/vnd.enliven,,,application,,active
application/vnd.enphase.envoy,,,application,,active
application/vnd.eprints.data+xml,,,application,,active
application/vnd.epson.esf,,,application,,active
application/vnd.epson.msf,,,application,,active
application/vnd.epson.quickanime,,,application,,active
application/vnd.epson.salt,,,application,,active
application/vnd.epson.ssf,,,application,,active
application/vnd.ericsson.quickcall,,,application,,active
application/vnd.espass-espass+zip,,,application,,active
application/vnd.eszigno3+xml,,,application,,active
application/vnd.etsi.aoc+xml,,,application,,active
application/vnd.etsi.asic-s+zip,,,application,,active
application/vnd.etsi.asic-e+zip,,,application,,active
application/vnd.etsi.cug+xml,,,application,,active
application/vnd.etsi.iptvcommand+xml,,,application,,active
application/vnd.etsi.iptvdiscovery+xml,,,application,,active
application/vnd.etsi.iptvprofile+xml,,,application,,active
application/vnd.etsi.iptvsad-bc+xml,,,application,,active
application/vnd.etsi.iptvsad-cod+xml,,,application,,active
application/vnd.etsi.iptvsad-npvr+xml,,,application,,active
application/vnd.etsi.iptvservice+xml,,,application,,active
application/vnd.etsi.iptvsync+xml,,,application,,active
application/vnd.etsi.iptvueprofile+xml,,,application,,active
application/vnd.etsi.mcid+xml,,,application,,active
application/vnd.etsi.mheg5,,,application,,active
application/vnd.etsi.overload-control-policy-dataset+xml,,,application,,active
application/vnd.etsi.pstn+xml,,,application,,active
application/vnd.etsi.sci+xml,,,application,,active
application/vnd.etsi.simservs+xml,,,application,,active
application/vnd.etsi.timestamp-token,,,application,,active
application/vnd.etsi.tsl+xml,,,application,,active
application/vnd.etsi.tsl.der,,,application,,active
application/vnd.evolv.ecig.theme,,,application,,active
application/vnd.eudora.data,,,application,,active
application/vnd.ezpix-album,,,application,,active
application/vnd.ezpix-package,,,application,,active
application/vnd.f-secure.mobile,,,application,,active
application/vnd.fastcopy-disk-image,,,application,,active
application/vnd.fdf,,,application,,active
application/vnd.fdsn.mseed,,,application,,active
application/vnd.fdsn.seed,,,application,,active
application/vnd.ffsns,,,application,,active
application/vnd.filmit.zfc,,,application,,active
application/vnd.fints,,,application,,active
application/vnd.firemonkeys.cloudcell,,,application,,active
application/vnd.FloGraphIt,,,application,,active
application/vnd.fluxtime.clip,,,application,,active
application/vnd.font-fontforge-sfd,,,application,,active
application/vnd.framemaker,,,application,,active
application/vnd.frogans.fnc,,,application,,active
application/vnd.frogans.ltf,,,application,,active
application/vnd.fsc.weblaunch,,,application,,active
application/vnd.fujitsu.oasys,,,application,,active
application/vnd.fujitsu.oasys2,,,application,,active
application/vnd.fujitsu.oasys3,,,application,,active
application/vnd.fujitsu.oasysgp,,,application,,active
application/vnd.fujitsu.oasysprs,,,application,,active
application/vnd.fujixerox.ART4,,,application,,active
application/vnd.fujixerox.ART-EX,,,application,,active
application/vnd.fujixerox.ddd,,,application,,active
application/vnd.fujixerox.docuworks,,,application,,active
application/vnd.fujixerox.docuworks.binder,,,application,,active
application/vnd.fujixerox.docuworks.container,,,application,,active
application/vnd.fujixerox.HBPL,,,application,,active
application/vnd.fut-misnet,,,application,,active
application/vnd.fuzzysheet,,,application,,active
application/vnd.genomatix.tuxedo,,,application,,active
application/vnd.geo+json,,,application,,withdrawn
application/vnd.geocube+xml,,,application,,withdrawn
application/vnd.geogebra.file,,,application,,active
application/vnd.geogebra.tool,,,application,,active
application/vnd.geometry-explorer,,,application,,active
application/vnd.geonext,,,application,,active
application/vnd.geoplan,,,application,,active
application/vnd.geospace,,,application,,active
application/vnd.gerber,,,application,,active
application/vnd.globalplatform.card-content-mgt,,,application,,active
application/vnd.globalplatform.card-content-mgt-response,,,application,,active
application/vnd.gmx,,,application,,withdrawn
application/vnd.google-earth.kml+xml,,,application,,active
application/vnd.google-earth.kmz,,,application,,active
application/vnd.gov.sk.e-form+xml,,,application,,active
application/vnd.gov.sk.e-form+zip,,,application,,active
application/vnd.gov.sk.xmldatacontainer+xml,,,application,,active
application/vnd.grafeq,,,application,,active
application/vnd.gridmp,,,application,,active
application/vnd.groove-account,,,application,,active
application/vnd.groove-help,,,application,,active
application/vnd.groove-identity-message,,,application,,active
application/vnd.groove-injector,,,application,,active
application/vnd.groove-tool-message,,,application,,active
application/vnd.groove-tool-template,,,application,,active
application/vnd.groove-vcard,,,application,,active
application/vnd.hal+json,,,application,,active
application/vnd.hal+xml,,,application,,active
application/vnd.HandHeld-Entertainment+xml,,,application,,active
application/vnd.hbci,,,application,,active
application/vnd.hc+json,,,application,,active
application/vnd.hcl-bireports,,,application,,active
application/vnd.hdt,,,application,,active
application/vnd.heroku+json,,,application,,active
application/vnd.hhe.lesson-player,,,application,,active
application/vnd.hp-HPGL,,,application,,active
application/vnd.hp-hpid,,,application,,active
application/vnd.hp-hps,,,application,,active
application/vnd.hp-jlyt,,,application,,active
application/vnd.hp-PCL,,,application,,active
application/vnd.hp-PCLXL,,,application,,active
application/vnd.httphone,,,application,,active
application/vnd.hydrostatix.sof-data,,,application,,active
application/vnd.hyper-item+json,,,application,,active
application/vnd.hyperdrive+json,,,application,,active
application/vnd.hzn-3d-crossword,,,application,,active
application/vnd.ibm.afplinedata,,,application,,active
application/vnd.ibm.electronic-media,,,application,,active
application/vnd.ibm.MiniPay,,,application,,active
application/vnd.ibm.modcap,,,application,,active
application/vnd.ibm.rights-management,,,application,,active
application/vnd.ibm.secure-container,,,application,,active
application/vnd.iccprofile,,,application,,active
application/vnd.ieee.1905,,,application,,active
application/vnd.igloader,,,application,,active
application/vnd.imagemeter.folder+zip,,,application,,active
application/vnd.imagemeter.image+zip,,,application,,active
application/vnd.immervision-ivp,,,application,,active
application/vnd.immervision-ivu,,,application,,active
application/vnd.ims.imsccv1p1,,,application,,active
application/vnd.ims.imsccv1p2,,,application,,active
application/vnd.ims.imsccv1p3,,,application,,active
application/vnd.ims.lis.v2.result+json,,,application,,active
application/vnd.ims.lti.v2.toolconsumerprofile+json,,,application,,active
application/vnd.ims.lti.v2.toolproxy.id+json,,,application,,active
application/vnd.ims.lti.v2.toolproxy+json,,,application,,active
application/vnd.ims.lti.v2.toolsettings+json,,,application,,active
application/vnd.ims.lti.v2.toolsettings.simple+json,,,application,,active
application/vnd.informedcontrol.rms+xml,,,application,,active
application/vnd.infotech.project,,,application,,active
application/vnd.infotech.project+xml,,,application,,active
application/vnd.informix-visionary,,,application,,withdrawn
application/vnd.innopath.wamp.notification,,,application,,active
application/vnd.insors.igm,,,application,,active
application/vnd.intercon.formnet,,,application,,active
application/vnd.intergeo,,,application,,active
application/vnd.intertrust.digibox,,,application,,active
application/vnd.intertrust.nncp,,,application,,active
application/vnd.intu.qbo,,,application,,active
application/vnd.intu.qfx,,,application,,active
application/vnd.iptc.g2.catalogitem+xml,,,application,,active
application/vnd.iptc.g2.conceptitem+xml,,,application,,active
application/vnd.iptc.g2.knowledgeitem+xml,,,application,,active
application/vnd.iptc.g2.newsitem+xml,,,application,,active
application/vnd.iptc.g2.newsmessage+xml,,,application,,active
application/vnd.iptc.g2.packageitem+xml,,,application,,active
application/vnd.iptc.g2.planningitem+xml,,,application,,active
application/vnd.ipunplugged.rcprofile,,,application,,active
application/vnd.irepository.package+xml,,,application,,active
application/vnd.is-xpr,,,application,,active
application/vnd.isac.fcs,,,application,,active
application/vnd.jam,,,application,,active
application/vnd.japannet-directory-service,,,application,,active
application/vnd.japannet-jpnstore-wakeup,,,application,,active
application/vnd.japannet-payment-wakeup,,,application,,active
application/vnd.japannet-registration,,,application,,active
application/vnd.japannet-registration-wakeup,,,application,,active
application/vnd.japannet-setstore-wakeup,,,application,,active
application/vnd.japannet-verification,,,application,,active
application/vnd.japannet-verification-wakeup,,,application,,active
application/vnd.jcp.javame.midlet-rms,,,application,,active
application/vnd.jisp,,,application,,active
application/vnd.joost.joda-archive,,,application,,active
application/vnd.jsk.isdn-ngn,,,application,,active
application/vnd.kahootz,,,application,,active
application/vnd.kde.karbon,,,application,,active
application/vnd.kde.kchart,,,application,,active
application/vnd.kde.kformula,,,application,,active
application/vnd.kde.kivio,,,application,,active
application/vnd.kde.kontour,,,application,,active
application/vnd.kde.kpresenter,,,application,,active
application/vnd.kde.kspread,,,application,,active
application/vnd.kde.kword,,,application,,active
application/vnd.kenameaapp,,,application,,active
application/vnd.kidspiration,,,application,,active
application/vnd.Kinar,,,application,,active
application/vnd.koan,,,application,,active
application/vnd.kodak-descriptor,,,application,,active
application/vnd.las.las+json,,,application,,active
application/vnd.las.las+xml,,,application,,active
application/vnd.liberty-request+xml,,,application,,active
application/vnd.llamagraphics.life-balance.desktop,,,application,,active
application/vnd.llamagraphics.life-balance.exchange+xml,,,application,,active
application/vnd.lotus-1-2-3,,,application,,active
application/vnd.lotus-approach,,,application,,active
application/vnd.lotus-freelance,,,application,,active
application/vnd.lotus-notes,,,application,,active
application/vnd.lotus-organizer,,,application,,active
application/vnd.lotus-screencam,,,application,,active
application/vnd.lotus-wordpro,,,application,,active
application/vnd.macports.portpkg,,,application,,active
application/vnd.macports.portpkg,,,application,,active
application/vnd.mapbox-vector-tile,,,application,,active
application/vnd.marlin.drm.actiontoken+xml,,,application,,active
application/vnd.marlin.drm.conftoken+xml,,,application,,active
