code,name,description,category,url,status
47112,Central European Initiative - Special Fund for Climate and Environmental Protection,,,,active
47113,Economic and Monetary Community of Central Africa,,,,active
47116,Integrated Framework for Trade-Related Technical Assistance to Least Developed Countries,,,,active
47117,New Partnership for Africa's Development,,,,active
47118,Regional Organisation for the Strengthening of Supreme Audit Institutions of Francophone Sub-Saharan Countries,,,,active
47119,Sahara and Sahel Observatory,,,,active
47120,South Asian Association for Regional Cooperation,,,,active
47121,United Cities and Local Governments of Africa,,,,active
47122,Global Alliance for Vaccines and Immunization,,,,active
47123,Geneva International Centre for Humanitarian Demining,,,,active
47125,European Bank for Reconstruction and Development - Early Transition Countries Initiative,,,,active
47126,European Bank for Reconstruction and Development - Western Balkans Trust Fund,,,,active
47127,Latin-American Energy Organisation,,,,active
21001,Association of Geoscientists for International Development,,,,active
21002,Agency for International Trade Information and Co-operation,,,,active
21003,Latin American Council for Social Sciences,,,,active
21004,Council for the Development of Economic and Social Research in Africa,,,,active
21005,Consumer Unity and Trust Society International,,,,active
21006,Development Gateway Foundation,,,,active
21007,Environmental Liaison Centre International,,,,active
21008,Eurostep,,,,active
21009,Forum for Agricultural Research in Africa,,,,active
21010,Forum for African Women Educationalists,,,,active
21011,Global Campaign for Education,,,,active
21013,Health Action International,,,,active
21014,Human Rights Information and Documentation Systems,,,,active
21015,International Catholic Rural Association,,,,active
21016,International Committee of the Red Cross,,,,active
21017,International Centre for Trade and Sustainable Development,,,,active
21018,International Federation of Red Cross and Red Crescent Societies,,,,active
21019,International Federation of Settlements and Neighbourhood Centres,,,,active
21020,International HIV/AIDS Alliance,,,,active
21021,International Institute for Environment and Development,,,,active
21022,International Network for Alternative Financial Institutions,,,,active
21023,International Planned Parenthood Federation,,,,active
21024,"Inter Press Service, International Association",,,,active
21025,International Seismological Centre,,,,active
21026,International Service for Human Rights,,,,active
21027,International Trust Fund for Demining and Mine Victims Assistance,,,,active
21028,International University Exchange Fund - IUEF Stip. in Africa and Latin America,,,,active
21029,Doctors Without Borders,,,,active
