code,name,description,language,category,category-name,category-description
application/vnd.apache.thrift.json,,,en,application,,
application/vnd.api+json,,,en,application,,
application/vnd.apothekende.reservation+json,,,en,application,,
application/vnd.apple.mpegurl,,,en,application,,
application/vnd.apple.installer+xml,,,en,application,,
application/vnd.arastra.swi,,,en,application,,
application/vnd.aristanetworks.swi,,,en,application,,
application/vnd.artsquare,,,en,application,,
application/vnd.astraea-software.iota,,,en,application,,
application/vnd.audiograph,,,en,application,,
application/vnd.autopackage,,,en,application,,
application/vnd.avistar+xml,,,en,application,,
application/vnd.balsamiq.bmml+xml,,,en,application,,
application/vnd.balsamiq.bmpr,,,en,application,,
application/vnd.bekitzur-stech+json,,,en,application,,
application/vnd.bint.med-content,,,en,application,,
application/vnd.biopax.rdf+xml,,,en,application,,
application/vnd.blueice.multipass,,,en,application,,
application/vnd.bluetooth.ep.oob,,,en,application,,
application/vnd.bluetooth.le.oob,,,en,application,,
application/vnd.bmi,,,en,application,,
application/vnd.businessobjects,,,en,application,,
application/vnd.cab-jscript,,,en,application,,
application/vnd.canon-cpdl,,,en,application,,
application/vnd.canon-lips,,,en,application,,
application/vnd.capasystems-pg+json,,,en,application,,
application/vnd.cendio.thinlinc.clientconf,,,en,application,,
application/vnd.century-systems.tcp_stream,,,en,application,,
application/vnd.chemdraw+xml,,,en,application,,
application/vnd.chess-pgn,,,en,application,,
application/vnd.chipnuts.karaoke-mmd,,,en,application,,
application/vnd.cinderella,,,en,application,,
application/vnd.cirpack.isdn-ext,,,en,application,,
application/vnd.citationstyles.style+xml,,,en,application,,
application/vnd.claymore,,,en,application,,
application/vnd.cloanto.rp9,,,en,application,,
application/vnd.clonk.c4group,,,en,application,,
application/vnd.cluetrust.cartomobile-config,,,en,application,,
application/vnd.cluetrust.cartomobile-config-pkg,,,en,application,,
application/vnd.coffeescript,,,en,application,,
application/vnd.collection.doc+json,,,en,application,,
application/vnd.collection+json,,,en,application,,
application/vnd.collection.next+json,,,en,application,,
application/vnd.comicbook+zip,,,en,application,,
application/vnd.commerce-battelle,,,en,application,,
application/vnd.commonspace,,,en,application,,
application/vnd.coreos.ignition+json,,,en,application,,
application/vnd.cosmocaller,,,en,application,,
application/vnd.contact.cmsg,,,en,application,,
application/vnd.crick.clicker,,,en,application,,
application/vnd.crick.clicker.keyboard,,,en,application,,
application/vnd.crick.clicker.palette,,,en,application,,
application/vnd.crick.clicker.template,,,en,application,,
application/vnd.crick.clicker.wordbank,,,en,application,,
application/vnd.criticaltools.wbs+xml,,,en,application,,
application/vnd.ctc-posml,,,en,application,,
application/vnd.ctct.ws+xml,,,en,application,,
application/vnd.cups-pdf,,,en,application,,
application/vnd.cups-postscript,,,en,application,,
application/vnd.cups-ppd,,,en,application,,
application/vnd.cups-raster,,,en,application,,
application/vnd.cups-raw,,,en,application,,
application/vnd.curl,,,en,application,,
application/vnd.cyan.dean.root+xml,,,en,application,,
application/vnd.cybank,,,en,application,,
application/vnd.d2l.coursepackage1p0+zip,,,en,application,,
application/vnd.dart,,,en,application,,
application/vnd.data-vision.rdz,,,en,application,,
application/vnd.datapackage+json,,,en,application,,
application/vnd.dataresource+json,,,en,application,,
application/vnd.debian.binary-package,,,en,application,,
application/vnd.dece.data,,,en,application,,
application/vnd.dece.ttml+xml,,,en,application,,
application/vnd.dece.unspecified,,,en,application,,
